# Alpha Run/Spin Iteration Value
1.500000 0 0 -0.031845
1.500000 0 1 -0.016457
1.500000 0 2 -0.029984
1.500000 0 3 -0.024055
1.500000 0 4 -0.036690
1.500000 0 5 0.000687
1.500000 0 6 -0.052933
1.500000 0 7 0.021904
1.500000 0 8 -0.069016
1.500000 0 9 0.023705
1.500000 0 10 -0.128159
1.500000 0 11 0.093147
1.500000 0 12 -0.205795
1.500000 0 13 0.215225
1.500000 0 14 -0.322891
1.500000 0 15 0.304626
1.500000 0 16 -0.421288
1.500000 0 17 0.358757
1.500000 0 18 -0.453934
1.500000 0 19 0.359787
1.500000 0 20 -0.449356
1.500000 0 21 0.358963
1.500000 0 22 -0.441551
1.500000 0 23 0.359306
1.500000 0 24 -0.465492
1.500000 0 25 0.361839
1.500000 0 26 -0.466629
1.500000 0 27 0.363739
1.500000 0 28 -0.471352
1.500000 0 29 0.362343
1.500000 0 30 -0.451340
1.500000 0 31 0.364159
1.500000 0 32 -0.436897
1.500000 0 33 0.361252
1.500000 0 34 -0.438995
1.500000 0 35 0.349876
1.500000 0 36 -0.455437
1.500000 0 37 0.355759
1.500000 0 38 -0.452301
1.500000 0 39 0.359261
1.500000 0 40 -0.467918
1.500000 0 41 0.363548
1.500000 0 42 -0.465164
1.500000 0 43 0.360870
1.500000 0 44 -0.450684
1.500000 0 45 0.363472
1.500000 0 46 -0.450760
1.500000 0 47 0.360054
1.500000 0 48 -0.448807
1.500000 0 49 0.356293
