#100 spin square lattice with alpha beta sweep

#Alpha Beta Cut
0.300000 0.100000 64.000000
0.300000 0.200000 111.000000
0.300000 0.300000 133.000000
0.300000 0.400000 128.000000
0.300000 0.500000 132.000000
0.400000 0.100000 73.000000
0.400000 0.200000 130.000000
0.400000 0.300000 127.000000
0.400000 0.400000 130.000000
0.400000 0.500000 126.000000
0.500000 0.100000 89.000000
0.500000 0.200000 137.000000
0.500000 0.300000 134.000000
0.500000 0.400000 136.000000
0.500000 0.500000 128.000000
0.600000 0.100000 77.000000
0.600000 0.200000 140.000000
0.600000 0.300000 117.000000
0.600000 0.400000 131.000000
0.600000 0.500000 131.000000
0.700000 0.100000 106.000000
0.700000 0.200000 116.000000
0.700000 0.300000 136.000000
0.700000 0.400000 122.000000
0.700000 0.500000 132.000000
0.800000 0.100000 113.000000
0.800000 0.200000 135.000000
0.800000 0.300000 125.000000
0.800000 0.400000 140.000000
0.800000 0.500000 129.000000
0.900000 0.100000 120.000000
0.900000 0.200000 133.000000
0.900000 0.300000 127.000000
0.900000 0.400000 130.000000
0.900000 0.500000 128.000000
1.000000 0.100000 115.000000
1.000000 0.200000 131.000000
1.000000 0.300000 122.000000
1.000000 0.400000 137.000000
1.000000 0.500000 126.000000
1.100000 0.100000 105.000000
1.100000 0.200000 124.000000
1.100000 0.300000 128.000000
1.100000 0.400000 126.000000
1.100000 0.500000 129.000000
