#16 spin square lattice alpha and beta are swept

#Alpha Beta Cut
0.300000 0.100000 9.000000
0.300000 0.200000 19.000000
0.300000 0.300000 20.000000
0.300000 0.400000 18.000000
0.300000 0.500000 20.000000
0.400000 0.100000 15.000000
0.400000 0.200000 9.000000
0.400000 0.300000 16.000000
0.400000 0.400000 20.000000
0.400000 0.500000 20.000000
0.500000 0.100000 3.000000
0.500000 0.200000 13.000000
0.500000 0.300000 18.000000
0.500000 0.400000 24.000000
0.500000 0.500000 18.000000
0.600000 0.100000 10.000000
0.600000 0.200000 20.000000
0.600000 0.300000 20.000000
0.600000 0.400000 15.000000
0.600000 0.500000 24.000000
0.700000 0.100000 3.000000
0.700000 0.200000 19.000000
0.700000 0.300000 15.000000
0.700000 0.400000 20.000000
0.700000 0.500000 20.000000
0.800000 0.100000 17.000000
0.800000 0.200000 13.000000
0.800000 0.300000 17.000000
0.800000 0.400000 20.000000
0.800000 0.500000 15.000000
0.900000 0.100000 15.000000
0.900000 0.200000 17.000000
0.900000 0.300000 20.000000
0.900000 0.400000 12.000000
0.900000 0.500000 20.000000
1.000000 0.100000 16.000000
1.000000 0.200000 16.000000
1.000000 0.300000 16.000000
1.000000 0.400000 17.000000
1.000000 0.500000 21.000000
1.100000 0.100000 12.000000
1.100000 0.200000 16.000000
1.100000 0.300000 16.000000
1.100000 0.400000 20.000000
1.100000 0.500000 11.000000
