#36 spin square lattice, alpha and beta are swept

#Alpha Beta Cut
0.300000 0.100000 20.000000
0.300000 0.200000 33.000000
0.300000 0.300000 48.000000
0.300000 0.400000 43.000000
0.300000 0.500000 43.000000
0.400000 0.100000 27.000000
0.400000 0.200000 52.000000
0.400000 0.300000 54.000000
0.400000 0.400000 46.000000
0.400000 0.500000 50.000000
0.500000 0.100000 20.000000
0.500000 0.200000 46.000000
0.500000 0.300000 45.000000
0.500000 0.400000 46.000000
0.500000 0.500000 53.000000
0.600000 0.100000 23.000000
0.600000 0.200000 46.000000
0.600000 0.300000 53.000000
0.600000 0.400000 48.000000
0.600000 0.500000 46.000000
0.700000 0.100000 32.000000
0.700000 0.200000 44.000000
0.700000 0.300000 54.000000
0.700000 0.400000 51.000000
0.700000 0.500000 53.000000
0.800000 0.100000 41.000000
0.800000 0.200000 46.000000
0.800000 0.300000 53.000000
0.800000 0.400000 53.000000
0.800000 0.500000 49.000000
0.900000 0.100000 38.000000
0.900000 0.200000 48.000000
0.900000 0.300000 53.000000
0.900000 0.400000 41.000000
0.900000 0.500000 42.000000
1.000000 0.100000 44.000000
1.000000 0.200000 44.000000
1.000000 0.300000 37.000000
1.000000 0.400000 48.000000
1.000000 0.500000 46.000000
1.100000 0.100000 38.000000
1.100000 0.200000 39.000000
1.100000 0.300000 45.000000
1.100000 0.400000 53.000000
1.100000 0.500000 53.000000
