#64 spin square lattice with alpha and beta sweep

#Alpha Beta Cut
0.300000 0.100000 39.000000
0.300000 0.200000 68.000000
0.300000 0.300000 83.000000
0.300000 0.400000 82.000000
0.300000 0.500000 79.000000
0.400000 0.100000 50.000000
0.400000 0.200000 56.000000
0.400000 0.300000 83.000000
0.400000 0.400000 81.000000
0.400000 0.500000 81.000000
0.500000 0.100000 42.000000
0.500000 0.200000 79.000000
0.500000 0.300000 96.000000
0.500000 0.400000 78.000000
0.500000 0.500000 77.000000
0.600000 0.100000 51.000000
0.600000 0.200000 81.000000
0.600000 0.300000 99.000000
0.600000 0.400000 70.000000
0.600000 0.500000 85.000000
0.700000 0.100000 58.000000
0.700000 0.200000 77.000000
0.700000 0.300000 93.000000
0.700000 0.400000 76.000000
0.700000 0.500000 101.000000
0.800000 0.100000 85.000000
0.800000 0.200000 84.000000
0.800000 0.300000 84.000000
0.800000 0.400000 96.000000
0.800000 0.500000 80.000000
0.900000 0.100000 67.000000
0.900000 0.200000 88.000000
0.900000 0.300000 82.000000
0.900000 0.400000 77.000000
0.900000 0.500000 90.000000
1.000000 0.100000 68.000000
1.000000 0.200000 61.000000
1.000000 0.300000 78.000000
1.000000 0.400000 91.000000
1.000000 0.500000 97.000000
1.100000 0.100000 64.000000
1.100000 0.200000 68.000000
1.100000 0.300000 78.000000
1.100000 0.400000 77.000000
1.100000 0.500000 85.000000
