# Alpha Run/Spin Iteration Value
0.300000 0 0 0.092792
0.300000 0 1 0.056934
0.300000 0 2 0.090503
0.300000 0 3 0.106982
0.300000 0 4 0.091113
0.300000 0 5 0.097827
0.300000 0 6 0.091724
0.300000 0 7 0.089282
0.300000 0 8 0.038318
0.300000 0 9 0.096454
0.300000 0 10 0.095081
0.300000 0 11 0.025348
0.300000 0 12 0.117969
0.300000 0 13 0.182971
0.300000 0 14 0.023822
0.300000 0 15 0.048083
0.300000 0 16 0.097217
0.300000 0 17 0.080432
0.300000 0 18 0.089435
0.300000 0 19 0.032977
0.300000 0 20 0.052203
0.300000 0 21 0.044727
0.300000 0 22 0.064868
0.300000 0 23 0.099811
0.300000 0 24 0.060443
0.300000 0 25 0.064563
0.300000 0 26 0.037860
0.300000 0 27 0.077991
0.300000 0 28 0.083331
0.300000 0 29 0.029315
0.300000 0 30 0.051746
0.300000 0 31 0.087299
0.300000 0 32 0.085010
0.300000 0 33 0.061969
0.300000 0 34 0.276813
0.300000 0 35 -0.019818
0.300000 0 36 0.106067
0.300000 0 37 0.099811
0.300000 0 38 0.097064
0.300000 0 39 0.083331
0.300000 0 40 0.054950
0.300000 0 41 0.085162
0.300000 0 42 0.036639
0.300000 0 43 0.123462
0.300000 0 44 0.019855
0.300000 0 45 0.110492
0.300000 0 46 0.079669
0.300000 0 47 0.081958
0.300000 0 48 0.078601
0.300000 0 49 0.055865
0.300000 1 0 0.080280
0.300000 1 1 0.081195
0.300000 1 2 0.085620
0.300000 1 3 0.052356
0.300000 1 4 0.108508
0.300000 1 5 0.102710
0.300000 1 6 0.037860
0.300000 1 7 0.103778
0.300000 1 8 0.091876
0.300000 1 9 0.060901
0.300000 1 10 0.039386
0.300000 1 11 0.085468
0.300000 1 12 0.040912
0.300000 1 13 0.240955
0.300000 1 14 0.049457
0.300000 1 15 0.087299
0.300000 1 16 0.044421
0.300000 1 17 0.035724
0.300000 1 18 0.074023
0.300000 1 19 0.061664
0.300000 1 20 0.046100
0.300000 1 21 0.108813
0.300000 1 22 0.076923
0.300000 1 23 0.063190
0.300000 1 24 0.068683
0.300000 1 25 0.047321
0.300000 1 26 0.062122
0.300000 1 27 0.034961
0.300000 1 28 0.088672
0.300000 1 29 0.094775
0.300000 1 30 0.039233
0.300000 1 31 0.039081
0.300000 1 32 0.098285
0.300000 1 33 0.071277
0.300000 1 34 0.091876
0.300000 1 35 0.092639
0.300000 1 36 0.059985
0.300000 1 37 0.072650
0.300000 1 38 0.037860
0.300000 1 39 0.086993
0.300000 1 40 0.063037
0.300000 1 41 0.091571
0.300000 1 42 0.081195
0.300000 1 43 0.091724
0.300000 1 44 0.069446
0.300000 1 45 0.108966
0.300000 1 46 0.051135
0.300000 1 47 0.153979
0.300000 1 48 0.082416
0.300000 1 49 0.446643
0.300000 2 0 0.088062
0.300000 2 1 0.086230
0.300000 2 2 0.042133
0.300000 2 3 0.045184
0.300000 2 4 0.100879
0.300000 2 5 0.029163
0.300000 2 6 0.053271
0.300000 2 7 0.050220
0.300000 2 8 0.056781
0.300000 2 9 0.066852
0.300000 2 10 0.044574
0.300000 2 11 0.053729
0.300000 2 12 0.095691
0.300000 2 13 0.031604
0.300000 2 14 0.065631
0.300000 2 15 0.064105
0.300000 2 16 0.077838
0.300000 2 17 0.102252
0.300000 2 18 0.052966
0.300000 2 19 0.054645
0.300000 2 20 0.072192
0.300000 2 21 0.111560
0.300000 2 22 0.059375
0.300000 2 23 0.059680
0.300000 2 24 0.050067
0.300000 2 25 0.096454
0.300000 2 26 0.037402
0.300000 2 27 0.054034
0.300000 2 28 0.054187
0.300000 2 29 0.076770
0.300000 2 30 0.077838
0.300000 2 31 0.084552
0.300000 2 32 0.063495
0.300000 2 33 0.103625
0.300000 2 34 0.027942
0.300000 2 35 0.003375
0.300000 2 36 0.110797
0.300000 2 37 0.034351
0.300000 2 38 0.064410
