# Alpha Run/Spin Iteration Value
0.500000 0 0 0.102710
0.500000 0 1 0.033130
0.500000 0 2 0.063342
0.500000 0 3 0.029926
0.500000 0 4 0.065326
0.500000 0 5 0.069751
0.500000 0 6 0.065631
0.500000 0 7 0.065631
0.500000 0 8 0.028552
0.500000 0 9 0.083942
0.500000 0 10 0.017871
0.500000 0 11 0.094318
0.500000 0 12 0.047473
0.500000 0 13 0.069446
0.500000 0 14 0.100116
0.500000 0 15 0.041064
0.500000 0 16 0.107593
0.500000 0 17 0.024585
0.500000 0 18 0.058154
0.500000 0 19 0.064410
0.500000 0 20 0.064410
0.500000 0 21 0.038165
0.500000 0 22 0.104694
0.500000 0 23 0.055865
0.500000 0 24 0.034961
0.500000 0 25 -0.029431
0.500000 0 26 0.087146
0.500000 0 27 0.095996
0.500000 0 28 0.091724
0.500000 0 29 0.098590
0.500000 0 30 0.012378
0.500000 0 31 0.098590
0.500000 0 32 0.062885
0.500000 0 33 0.088977
0.500000 0 34 0.079211
0.500000 0 35 0.053424
0.500000 0 36 0.041675
0.500000 0 37 0.078601
0.500000 0 38 0.076770
0.500000 0 39 0.090350
0.500000 0 40 0.027026
0.500000 0 41 0.048389
0.500000 0 42 0.071887
0.500000 0 43 0.040607
0.500000 0 44 0.071582
0.500000 0 45 0.096912
0.500000 0 46 0.023822
0.500000 0 47 0.140094
0.500000 0 48 0.002002
0.500000 0 49 0.099658
0.500000 1 0 0.093402
0.500000 1 1 0.086078
0.500000 1 2 0.079059
0.500000 1 3 0.065936
0.500000 1 4 0.063342
0.500000 1 5 0.067462
0.500000 1 6 0.047778
0.500000 1 7 0.093707
0.500000 1 8 -0.010968
0.500000 1 9 0.113544
0.500000 1 10 0.045642
0.500000 1 11 0.071429
0.500000 1 12 0.087756
0.500000 1 13 0.059222
0.500000 1 14 0.090808
0.500000 1 15 0.128955
0.500000 1 16 0.020923
0.500000 1 17 0.117053
0.500000 1 18 0.040607
0.500000 1 19 0.092792
0.500000 1 20 0.084247
0.500000 1 21 0.077838
0.500000 1 22 0.063647
0.500000 1 23 0.065936
0.500000 1 24 0.092792
0.500000 1 25 0.057544
0.500000 1 26 0.079517
0.500000 1 27 0.054645
0.500000 1 28 0.113849
0.500000 1 29 0.011615
0.500000 1 30 0.064868
0.500000 1 31 0.037250
0.500000 1 32 0.105151
0.500000 1 33 0.055255
0.500000 1 34 0.051898
0.500000 1 35 0.087299
0.500000 1 36 0.061664
0.500000 1 37 0.095996
0.500000 1 38 0.047473
0.500000 1 39 0.082721
0.500000 1 40 0.039386
0.500000 1 41 0.117053
0.500000 1 42 0.001849
0.500000 1 43 0.115680
0.500000 1 44 0.037860
0.500000 1 45 0.045184
0.500000 1 46 0.323352
0.500000 1 47 -0.164471
0.500000 1 48 0.208301
0.500000 1 49 -0.028668
0.500000 2 0 0.118732
0.500000 2 1 0.081195
0.500000 2 2 0.091418
0.500000 2 3 0.056171
0.500000 2 4 0.081348
0.500000 2 5 0.076770
0.500000 2 6 0.048389
0.500000 2 7 0.071277
0.500000 2 8 0.091571
0.500000 2 9 0.017566
0.500000 2 10 0.108203
0.500000 2 11 0.040607
0.500000 2 12 0.094165
0.500000 2 13 0.056171
0.500000 2 14 0.086841
0.500000 2 15 0.317706
0.500000 2 16 -0.082989
0.500000 2 17 0.459613
0.500000 2 18 -0.093213
0.500000 2 19 0.100574
0.500000 2 20 0.070819
0.500000 2 21 0.090503
0.500000 2 22 0.080585
0.500000 2 23 0.085468
0.500000 2 24 0.088824
0.500000 2 25 0.079059
0.500000 2 26 0.034351
0.500000 2 27 0.063190
0.500000 2 28 0.046100
0.500000 2 29 0.120715
0.500000 2 30 0.035571
0.500000 2 31 0.103168
0.500000 2 32 0.064716
0.500000 2 33 0.050983
0.500000 2 34 0.086688
0.500000 2 35 0.085468
0.500000 2 36 0.078448
0.500000 2 37 0.063342
0.500000 2 38 0.090350
0.500000 2 39 0.033282
0.500000 2 40 0.081805
0.500000 2 41 0.018481
0.500000 2 42 0.071887
0.500000 2 43 0.031757
0.500000 2 44 0.051288
0.500000 2 45 0.093555
0.500000 2 46 -0.001813
0.500000 2 47 0.099200
0.500000 2 48 0.057697
0.500000 2 49 0.056781
0.500000 3 0 -0.210706
0.500000 3 1 0.169086
0.500000 3 2 0.019244
0.500000 3 3 0.092334
0.500000 3 4 0.116290
0.500000 3 5 0.069293
0.500000 3 6 0.061511
0.500000 3 7 0.052966
0.500000 3 8 0.075854
0.500000 3 9 0.057391
0.500000 3 10 0.095233
0.500000 3 11 0.030536
0.500000 3 12 0.114917
0.500000 3 13 0.039081
0.500000 3 14 0.057239
0.500000 3 15 0.074176
0.500000 3 16 0.065173
0.500000 3 17 0.145587
0.500000 3 18 0.029926
0.500000 3 19 0.031146
0.500000 3 20 0.111865
0.500000 3 21 0.063800
0.500000 3 22 0.101184
0.500000 3 23 0.078754
0.500000 3 24 0.066547
0.500000 3 25 0.025806
0.500000 3 26 0.056628
0.500000 3 27 0.058765
0.500000 3 28 0.265369
0.500000 3 29 -0.008679
0.500000 3 30 0.133075
0.500000 3 31 0.004291
0.500000 3 32 0.070667
0.500000 3 33 0.053729
0.500000 3 34 0.098132
0.500000 3 35 0.036334
0.500000 3 36 0.056323
0.500000 3 37 0.090350
0.500000 3 38 0.064563
0.500000 3 39 0.071582
0.500000 3 40 0.038928
0.500000 3 41 0.123157
0.500000 3 42 0.036487
0.500000 3 43 0.112933
0.500000 3 44 0.079669
0.500000 3 45 -0.011426
0.500000 3 46 0.129413
0.500000 3 47 0.021838
0.500000 3 48 0.081195
0.500000 3 49 0.083789
0.500000 4 0 0.097369
0.500000 4 1 0.028857
0.500000 4 2 0.051898
0.500000 4 3 0.102252
0.500000 4 4 0.023364
0.500000 4 5 0.066547
0.500000 4 6 0.085925
0.500000 4 7 0.053271
0.500000 4 8 0.101489
0.500000 4 9 0.015582
0.500000 4 10 0.061359
0.500000 4 11 0.052509
0.500000 4 12 0.056781
0.500000 4 13 0.086841
0.500000 4 14 0.019702
0.500000 4 15 0.063342
0.500000 4 16 0.152301
0.500000 4 17 0.053119
0.500000 4 18 0.051288
0.500000 4 19 0.033282
0.500000 4 20 0.097980
0.500000 4 21 0.033282
0.500000 4 22 0.063342
0.500000 4 23 0.056018
0.500000 4 24 0.026263
0.500000 4 25 0.064258
0.500000 4 26 0.092639
0.500000 4 27 0.074176
0.500000 4 28 0.064258
0.500000 4 29 0.049762
0.500000 4 30 0.031146
0.500000 4 31 0.078906
0.500000 4 32 0.035419
0.500000 4 33 0.063037
0.500000 4 34 0.105914
0.500000 4 35 -0.124646
0.500000 4 36 0.172137
0.500000 4 37 0.046710
0.500000 4 38 0.080890
0.500000 4 39 0.056781
0.500000 4 40 0.031146
0.500000 4 41 0.084094
0.500000 4 42 0.063190
0.500000 4 43 0.071582
0.500000 4 44 0.005054
0.500000 4 45 0.092487
0.500000 4 46 0.034503
0.500000 4 47 0.095996
0.500000 4 48 0.103931
0.500000 4 49 0.025653
0.500000 5 0 0.124683
0.500000 5 1 0.060748
0.500000 5 2 0.050525
0.500000 5 3 0.071124
0.500000 5 4 0.050830
0.500000 5 5 0.090503
0.500000 5 6 0.083026
0.500000 5 7 0.078143
0.500000 5 8 0.047931
0.500000 5 9 0.056781
0.500000 5 10 0.045947
0.500000 5 11 0.092029
0.500000 5 12 0.080737
0.500000 5 13 0.086536
0.500000 5 14 0.018481
0.500000 5 15 0.067462
0.500000 5 16 0.061664
0.500000 5 17 0.081805
0.500000 5 18 0.067004
0.500000 5 19 0.085925
0.500000 5 20 0.082874
0.500000 5 21 0.066852
0.500000 5 22 0.048694
0.500000 5 23 0.028247
0.500000 5 24 0.114154
0.500000 5 25 0.011615
0.500000 5 26 0.071582
0.500000 5 27 -0.013104
0.500000 5 28 0.099963
0.500000 5 29 0.017413
0.500000 5 30 0.107135
0.500000 5 31 0.055255
0.500000 5 32 0.029620
0.500000 5 33 0.046252
0.500000 5 34 0.052509
0.500000 5 35 0.096912
0.500000 5 36 0.047931
0.500000 5 37 0.069446
0.500000 5 38 0.043658
0.500000 5 39 0.065936
0.500000 5 40 -0.075818
0.500000 5 41 0.104083
0.500000 5 42 0.138416
0.500000 5 43 0.024585
0.500000 5 44 0.078754
0.500000 5 45 0.083179
0.500000 5 46 0.061664
0.500000 5 47 0.055865
0.500000 5 48 0.031299
0.500000 5 49 0.055103
0.500000 6 0 0.049457
0.500000 6 1 0.092639
0.500000 6 2 0.040454
0.500000 6 3 0.048541
0.500000 6 4 0.072650
0.500000 6 5 0.093402
0.500000 6 6 0.055255
0.500000 6 7 0.092792
0.500000 6 8 0.065021
0.500000 6 9 -0.049115
0.500000 6 10 0.132770
0.500000 6 11 0.139026
0.500000 6 12 0.067157
0.500000 6 13 0.079669
0.500000 6 14 0.072498
0.500000 6 15 0.062122
0.500000 6 16 0.039844
0.500000 6 17 0.095081
0.500000 6 18 0.078296
0.500000 6 19 0.064716
0.500000 6 20 0.044727
0.500000 6 21 0.101642
0.500000 6 22 0.085315
0.500000 6 23 0.061969
0.500000 6 24 0.178851
0.500000 6 25 0.184802
0.500000 6 26 -0.034161
0.500000 6 27 0.120105
0.500000 6 28 -0.015698
0.500000 6 29 0.094165
0.500000 6 30 0.118274
0.500000 6 31 0.071887
0.500000 6 32 0.089587
0.500000 6 33 0.090961
0.500000 6 34 0.117664
0.500000 6 35 0.060596
0.500000 6 36 0.068378
0.500000 6 37 0.014819
0.500000 6 38 0.098895
0.500000 6 39 0.042285
0.500000 6 40 0.119495
0.500000 6 41 0.071277
0.500000 6 42 0.059680
0.500000 6 43 0.104999
0.500000 6 44 0.089130
0.500000 6 45 0.055408
0.500000 6 46 0.080737
0.500000 6 47 0.069446
0.500000 6 48 0.078906
0.500000 6 49 0.087909
0.500000 7 0 0.094928
0.500000 7 1 -0.311108
0.500000 7 2 0.231036
0.500000 7 3 0.035571
0.500000 7 4 0.115985
0.500000 7 5 0.026569
0.500000 7 6 0.096759
0.500000 7 7 0.056018
0.500000 7 8 0.103778
0.500000 7 9 0.019855
0.500000 7 10 0.124072
0.500000 7 11 0.053729
0.500000 7 12 0.050525
0.500000 7 13 0.051440
0.500000 7 14 -0.207349
0.500000 7 15 0.235919
0.500000 7 16 0.018939
0.500000 7 17 0.081958
0.500000 7 18 0.047473
0.500000 7 19 0.097522
0.500000 7 20 0.061511
0.500000 7 21 0.030688
0.500000 7 22 0.090198
0.500000 7 23 0.099658
0.500000 7 24 0.035724
0.500000 7 25 0.049457
0.500000 7 26 0.045947
0.500000 7 27 0.039081
0.500000 7 28 0.110950
0.500000 7 29 0.030383
0.500000 7 30 0.059375
0.500000 7 31 -0.123578
0.500000 7 32 0.158557
0.500000 7 33 0.018787
0.500000 7 34 0.106525
0.500000 7 35 0.044421
0.500000 7 36 0.095538
0.500000 7 37 0.081195
0.500000 7 38 0.055408
0.500000 7 39 0.042743
0.500000 7 40 0.081348
0.500000 7 41 0.058612
0.500000 7 42 0.102100
0.500000 7 43 0.027026
0.500000 7 44 0.119189
0.500000 7 45 0.020007
0.500000 7 46 0.069598
0.500000 7 47 0.090503
0.500000 7 48 0.083942
0.500000 7 49 0.048999
0.500000 8 0 0.043964
0.500000 8 1 0.090045
0.500000 8 2 0.021381
0.500000 8 3 0.122546
0.500000 8 4 0.032520
0.500000 8 5 0.070972
0.500000 8 6 0.085620
0.500000 8 7 0.058307
0.500000 8 8 0.081500
0.500000 8 9 0.024432
0.500000 8 10 0.062885
0.500000 8 11 0.043201
0.500000 8 12 0.052814
0.500000 8 13 0.107593
0.500000 8 14 0.008563
0.500000 8 15 0.091724
0.500000 8 16 0.047778
0.500000 8 17 0.110187
0.500000 8 18 0.077991
0.500000 8 19 0.093707
0.500000 8 20 0.041064
0.500000 8 21 0.089740
0.500000 8 22 0.034351
0.500000 8 23 0.105151
0.500000 8 24 0.030231
0.500000 8 25 0.063953
0.500000 8 26 0.039996
0.500000 8 27 0.051746
0.500000 8 28 0.081653
0.500000 8 29 0.061053
0.500000 8 30 0.050372
0.500000 8 31 0.084857
0.500000 8 32 0.074481
0.500000 8 33 0.051593
0.500000 8 34 0.146198
0.500000 8 35 0.003223
0.500000 8 36 0.070514
0.500000 8 37 0.102405
0.500000 8 38 0.036182
0.500000 8 39 0.078906
0.500000 8 40 0.064563
0.500000 8 41 0.069751
0.500000 8 42 0.033435
0.500000 8 43 0.070514
0.500000 8 44 0.042133
0.500000 8 45 0.067462
0.500000 8 46 0.030536
0.500000 8 47 0.100269
0.500000 8 48 0.062732
0.500000 8 49 0.101337
0.500000 9 0 0.111102
0.500000 9 1 0.046863
0.500000 9 2 0.066547
0.500000 9 3 0.094470
0.500000 9 4 0.061359
0.500000 9 5 0.059528
0.500000 9 6 0.091418
0.500000 9 7 0.061664
0.500000 9 8 0.072192
0.500000 9 9 0.046710
0.500000 9 10 0.088824
0.500000 9 11 0.041675
0.500000 9 12 0.081348
0.500000 9 13 0.081805
0.500000 9 14 0.085315
0.500000 9 15 0.041980
0.500000 9 16 0.097827
0.500000 9 17 0.028400
0.500000 9 18 0.094318
0.500000 9 19 0.059528
0.500000 9 20 0.090961
0.500000 9 21 0.049762
0.500000 9 22 0.101947
0.500000 9 23 0.101337
0.500000 9 24 0.073108
0.500000 9 25 0.097827
0.500000 9 26 0.091571
0.500000 9 27 0.079211
0.500000 9 28 0.033130
0.500000 9 29 0.105457
0.500000 9 30 0.066852
0.500000 9 31 0.072803
0.500000 9 32 0.062579
0.500000 9 33 0.097217
0.500000 9 34 0.085620
0.500000 9 35 0.067615
0.500000 9 36 0.056476
0.500000 9 37 0.070514
0.500000 9 38 0.068835
0.500000 9 39 0.076007
0.500000 9 40 0.066547
0.500000 9 41 0.061359
0.500000 9 42 0.104999
0.500000 9 43 0.070056
0.500000 9 44 0.103473
0.500000 9 45 0.101337
0.500000 9 46 0.026416
0.500000 9 47 0.104694
0.500000 9 48 0.025043
0.500000 9 49 0.099811
0.500000 10 0 0.061053
0.500000 10 1 0.025348
0.500000 10 2 0.075244
0.500000 10 3 0.029773
0.500000 10 4 0.125751
0.500000 10 5 0.036334
0.500000 10 6 0.084705
0.500000 10 7 0.041064
0.500000 10 8 0.082568
0.500000 10 9 0.123615
0.500000 10 10 0.029620
0.500000 10 11 0.076007
0.500000 10 12 0.054950
0.500000 10 13 0.094318
0.500000 10 14 0.093402
0.500000 10 15 0.059680
0.500000 10 16 0.057239
0.500000 10 17 0.094928
0.500000 10 18 0.068835
0.500000 10 19 0.032214
0.500000 10 20 0.084094
0.500000 10 21 0.064105
0.500000 10 22 0.062274
0.500000 10 23 0.069141
0.500000 10 24 0.071887
0.500000 10 25 0.107288
0.500000 10 26 0.058307
0.500000 10 27 0.110339
0.500000 10 28 0.028094
0.500000 10 29 0.073566
0.500000 10 30 0.084552
0.500000 10 31 0.054187
0.500000 10 32 0.048389
0.500000 10 33 0.094928
0.500000 10 34 0.092334
0.500000 10 35 0.061816
0.500000 10 36 0.093402
0.500000 10 37 0.064716
0.500000 10 38 0.106219
0.500000 10 39 0.018787
0.500000 10 40 0.083789
0.500000 10 41 0.083331
0.500000 10 42 0.062579
0.500000 10 43 0.097064
0.500000 10 44 0.081653
0.500000 10 45 0.054340
0.500000 10 46 0.052356
0.500000 10 47 0.036334
0.500000 10 48 0.065021
0.500000 10 49 0.090198
0.500000 11 0 0.059680
0.500000 11 1 0.055408
0.500000 11 2 0.094775
0.500000 11 3 -0.080243
0.500000 11 4 0.139178
0.500000 11 5 -0.000897
0.500000 11 6 0.080127
0.500000 11 7 0.054492
0.500000 11 8 0.107593
0.500000 11 9 0.040302
0.500000 11 10 0.048083
0.500000 11 11 0.110950
0.500000 11 12 0.052814
0.500000 11 13 0.049304
0.500000 11 14 0.074939
0.500000 11 15 0.050983
0.500000 11 16 0.091571
0.500000 11 17 0.076465
0.500000 11 18 0.067157
0.500000 11 19 0.035266
0.500000 11 20 0.164813
0.500000 11 21 0.018481
0.500000 11 22 0.073108
0.500000 11 23 0.039691
0.500000 11 24 0.112933
0.500000 11 25 0.050372
0.500000 11 26 0.093097
0.500000 11 27 0.092487
0.500000 11 28 0.078143
0.500000 11 29 0.035266
0.500000 11 30 0.073718
0.500000 11 31 0.055103
0.500000 11 32 0.062427
0.500000 11 33 0.048083
0.500000 11 34 0.045490
0.500000 11 35 0.114764
0.500000 11 36 0.061816
0.500000 11 37 0.076770
0.500000 11 38 0.089282
0.500000 11 39 0.092792
0.500000 11 40 0.100116
0.500000 11 41 0.040149
0.500000 11 42 0.102863
0.500000 11 43 0.014972
0.500000 11 44 0.108813
0.500000 11 45 0.057697
0.500000 11 46 0.104236
0.500000 11 47 0.037555
0.500000 11 48 -0.209180
0.500000 11 49 0.179309
0.500000 12 0 0.127582
0.500000 12 1 0.024432
0.500000 12 2 0.043658
0.500000 12 3 0.039844
0.500000 12 4 0.083179
0.500000 12 5 0.032825
0.500000 12 6 0.087451
0.500000 12 7 0.049457
0.500000 12 8 0.071124
0.500000 12 9 0.043201
0.500000 12 10 0.071277
0.500000 12 11 0.111865
0.500000 12 12 0.043811
0.500000 12 13 0.013904
0.500000 12 14 0.067310
0.500000 12 15 0.122699
0.500000 12 16 0.076465
0.500000 12 17 0.096759
0.500000 12 18 0.069141
0.500000 12 19 0.069293
0.500000 12 20 0.057849
0.500000 12 21 0.084857
0.500000 12 22 0.083942
0.500000 12 23 0.021991
0.500000 12 24 0.084705
0.500000 12 25 0.087299
0.500000 12 26 0.029010
0.500000 12 27 0.122241
0.500000 12 28 0.056323
0.500000 12 29 0.086230
0.500000 12 30 0.059833
0.500000 12 31 0.106525
0.500000 12 32 0.087451
0.500000 12 33 0.046100
0.500000 12 34 0.113849
0.500000 12 35 0.133685
0.500000 12 36 0.010547
0.500000 12 37 0.119495
0.500000 12 38 0.023059
0.500000 12 39 0.090503
0.500000 12 40 0.070667
0.500000 12 41 0.027026
0.500000 12 42 0.104083
0.500000 12 43 0.069598
0.500000 12 44 0.030078
0.500000 12 45 0.113239
0.500000 12 46 0.072803
0.500000 12 47 0.129260
0.500000 12 48 0.036945
0.500000 12 49 0.073871
0.500000 13 0 0.085925
0.500000 13 1 0.088977
0.500000 13 2 0.080127
0.500000 13 3 0.050983
0.500000 13 4 0.053882
0.500000 13 5 0.060138
0.500000 13 6 0.071582
0.500000 13 7 0.073871
0.500000 13 8 0.107745
0.500000 13 9 0.018176
0.500000 13 10 0.133533
0.500000 13 11 0.045337
0.500000 13 12 0.075854
0.500000 13 13 0.067310
0.500000 13 14 0.077686
0.500000 13 15 0.038013
0.500000 13 16 0.041675
0.500000 13 17 0.079059
0.500000 13 18 0.069751
0.500000 13 19 0.060291
0.500000 13 20 0.047931
0.500000 13 21 0.042896
0.500000 13 22 0.105151
0.500000 13 23 0.049457
0.500000 13 24 0.078906
0.500000 13 25 0.090198
0.500000 13 26 0.025806
0.500000 13 27 0.106219
0.500000 13 28 0.078143
0.500000 13 29 0.094928
0.500000 13 30 0.041675
0.500000 13 31 0.069751
0.500000 13 32 0.093097
0.500000 13 33 0.063953
0.500000 13 34 0.046863
0.500000 13 35 0.076770
0.500000 13 36 0.057849
0.500000 13 37 0.065936
0.500000 13 38 0.042438
0.500000 13 39 0.097064
0.500000 13 40 0.048236
0.500000 13 41 0.051288
0.500000 13 42 0.052661
0.500000 13 43 0.048236
0.500000 13 44 0.084399
0.500000 13 45 0.057239
0.500000 13 46 0.068378
0.500000 13 47 -0.147076
0.500000 13 48 0.146350
0.500000 13 49 0.055255
0.500000 14 0 0.090198
0.500000 14 1 0.060443
0.500000 14 2 0.084705
0.500000 14 3 0.030383
0.500000 14 4 0.060138
0.500000 14 5 0.075549
0.500000 14 6 0.062732
0.500000 14 7 0.086841
0.500000 14 8 0.087909
0.500000 14 9 0.037097
0.500000 14 10 0.077228
0.500000 14 11 0.064716
0.500000 14 12 0.063495
0.500000 14 13 0.066699
0.500000 14 14 0.044879
0.500000 14 15 0.042590
0.500000 14 16 0.110187
0.500000 14 17 0.086993
0.500000 14 18 0.022601
0.500000 14 19 0.085468
0.500000 14 20 0.094928
0.500000 14 21 0.059985
0.500000 14 22 0.062885
0.500000 14 23 0.076160
0.500000 14 24 0.028552
0.500000 14 25 0.103168
0.500000 14 26 0.018634
0.500000 14 27 0.054492
0.500000 14 28 0.084094
0.500000 14 29 0.032367
0.500000 14 30 0.058002
0.500000 14 31 0.050525
0.500000 14 32 0.113086
0.500000 14 33 0.064105
0.500000 14 34 0.066394
0.500000 14 35 0.092334
0.500000 14 36 0.078754
0.500000 14 37 0.059833
0.500000 14 38 0.081958
0.500000 14 39 0.089740
0.500000 14 40 0.077533
0.500000 14 41 0.061206
0.500000 14 42 0.078906
0.500000 14 43 0.070209
0.500000 14 44 0.096149
0.500000 14 45 0.030231
0.500000 14 46 0.117206
0.500000 14 47 0.035876
0.500000 14 48 0.063037
0.500000 14 49 0.146808
0.500000 15 0 0.091876
0.500000 15 1 0.053119
0.500000 15 2 0.113239
0.500000 15 3 0.036182
0.500000 15 4 0.089740
0.500000 15 5 0.074329
0.500000 15 6 0.082874
0.500000 15 7 0.083331
0.500000 15 8 0.090350
0.500000 15 9 0.087146
0.500000 15 10 0.150317
0.500000 15 11 -0.002576
0.500000 15 12 0.093250
0.500000 15 13 0.071887
0.500000 15 14 0.074481
0.500000 15 15 0.040149
0.500000 15 16 0.116595
0.500000 15 17 0.020618
0.500000 15 18 0.067004
0.500000 15 19 0.089893
0.500000 15 20 0.074634
0.500000 15 21 0.017566
0.500000 15 22 0.085162
0.500000 15 23 0.045947
0.500000 15 24 0.041980
0.500000 15 25 0.070972
0.500000 15 26 0.105151
0.500000 15 27 0.071124
0.500000 15 28 0.105609
0.500000 15 29 0.089435
0.500000 15 30 0.045337
0.500000 15 31 0.089130
0.500000 15 32 0.035419
0.500000 15 33 0.119189
0.500000 15 34 0.054492
0.500000 15 35 0.040607
0.500000 15 36 0.093097
0.500000 15 37 0.044727
0.500000 15 38 0.053119
0.500000 15 39 0.096912
0.500000 15 40 0.025653
0.500000 15 41 0.077838
0.500000 15 42 0.029468
0.500000 15 43 0.068530
0.500000 15 44 0.040302
0.500000 15 45 0.104388
0.500000 15 46 0.032825
0.500000 15 47 0.121783
0.500000 15 48 0.083942
0.500000 15 49 0.051593
0.500000 16 0 0.126361
0.500000 16 1 0.026416
0.500000 16 2 0.113391
0.500000 16 3 0.079974
0.500000 16 4 0.040454
0.500000 16 5 0.083484
0.500000 16 6 0.095081
0.500000 16 7 0.102405
0.500000 16 8 0.032977
0.500000 16 9 0.114917
0.500000 16 10 0.032214
0.500000 16 11 0.109119
