# Alpha Run/Spin Iteration Value
0.500000 0 0 -0.136582
0.500000 0 1 -0.070511
0.500000 0 2 -0.102555
0.500000 0 3 -0.096299
0.500000 0 4 -0.087296
0.500000 0 5 -0.074021
0.500000 0 6 -0.100876
0.500000 0 7 -0.097062
0.500000 0 8 -0.085618
0.500000 0 9 -0.098282
0.500000 0 10 -0.090958
0.500000 0 11 -0.087754
0.500000 0 12 -0.092942
0.500000 0 13 -0.094468
0.500000 0 14 -0.087296
0.500000 0 15 -0.091874
0.500000 0 16 -0.092789
0.500000 0 17 -0.095078
0.500000 0 18 -0.091263
0.500000 0 19 -0.094620
0.500000 0 20 -0.091721
0.500000 0 21 -0.091874
0.500000 0 22 -0.093857
0.500000 0 23 -0.092179
0.500000 0 24 -0.099045
0.500000 0 25 -0.083481
0.500000 0 26 -0.100876
0.500000 0 27 -0.079056
0.500000 0 28 -0.102860
0.500000 0 29 -0.083481
0.500000 0 30 -0.093857
0.500000 0 31 -0.089890
0.500000 0 32 -0.097062
0.500000 0 33 -0.024125
0.500000 0 34 -0.124528
0.500000 0 35 -0.071274
0.500000 0 36 -0.102097
0.500000 0 37 -0.079819
0.500000 0 38 -0.095841
0.500000 0 39 -0.079972
0.500000 0 40 -0.094620
0.500000 0 41 -0.088517
0.500000 0 42 -0.099351
0.500000 0 43 -0.099503
0.500000 0 44 -0.092789
0.500000 0 45 -0.115677
0.500000 0 46 -0.081956
0.500000 0 47 -0.091569
0.500000 0 48 -0.094010
0.500000 0 49 -0.097367
0.500000 1 0 -0.133835
0.500000 1 1 -0.077988
0.500000 1 2 -0.098893
0.500000 1 3 -0.102250
0.500000 1 4 -0.084397
0.500000 1 5 -0.037247
0.500000 1 6 -0.117509
0.500000 1 7 -0.079819
0.500000 1 8 -0.091874
0.500000 1 9 -0.091416
0.500000 1 10 -0.093094
0.500000 1 11 -0.082261
0.500000 1 12 -0.095078
0.500000 1 13 -0.089738
0.500000 1 14 -0.090500
0.500000 1 15 -0.093705
0.500000 1 16 -0.096757
0.500000 1 17 -0.088212
0.500000 1 18 -0.085770
0.500000 1 19 -0.090958
0.500000 1 20 -0.099503
0.500000 1 21 -0.092332
0.500000 1 22 -0.090195
0.500000 1 23 -0.089432
0.500000 1 24 -0.093247
0.500000 1 25 -0.087754
0.500000 1 26 -0.099503
0.500000 1 27 -0.082566
0.500000 1 28 -0.092789
0.500000 1 29 -0.095078
0.500000 1 30 -0.087906
0.500000 1 31 -0.090348
0.500000 1 32 -0.098588
0.500000 1 33 -0.093247
0.500000 1 34 -0.090653
0.500000 1 35 -0.091416
0.500000 1 36 -0.092484
0.500000 1 37 -0.092026
0.500000 1 38 -0.088669
0.500000 1 39 -0.090806
0.500000 1 40 -0.095688
0.500000 1 41 -0.081498
0.500000 1 42 -0.094315
0.500000 1 43 -0.091263
0.500000 1 44 -0.096146
0.500000 1 45 -0.091721
0.500000 1 46 -0.078141
0.500000 1 47 -0.096757
0.500000 1 48 -0.080125
0.500000 1 49 -0.095536
0.500000 2 0 -0.129868
0.500000 2 1 -0.072343
0.500000 2 2 -0.099351
0.500000 2 3 -0.088364
0.500000 2 4 -0.082566
0.500000 2 5 -0.097672
0.500000 2 6 -0.088059
0.500000 2 7 -0.097214
0.500000 2 8 -0.095841
0.500000 2 9 -0.090806
0.500000 2 10 -0.085007
0.500000 2 11 -0.097520
0.500000 2 12 -0.090653
0.500000 2 13 -0.090500
0.500000 2 14 -0.076462
0.500000 2 15 -0.098282
0.500000 2 16 -0.092332
0.500000 2 17 -0.095841
0.500000 2 18 0.206588
0.500000 2 19 -0.228135
0.500000 2 20 -0.023972
0.500000 2 21 -0.115525
0.500000 2 22 0.296768
0.500000 2 23 -0.266739
0.500000 2 24 -0.010087
0.500000 2 25 -0.127579
0.500000 2 26 -0.076920
0.500000 2 27 -0.097214
0.500000 2 28 -0.129716
0.500000 2 29 -0.074631
0.500000 2 30 -0.105149
0.500000 2 31 -0.083787
0.500000 2 32 -0.045640
0.500000 2 33 -0.109727
0.500000 2 34 -0.084244
0.500000 2 35 -0.062577
0.500000 2 36 -0.105149
0.500000 2 37 -0.088669
0.500000 2 38 -0.096757
0.500000 2 39 -0.079056
0.500000 2 40 -0.092332
0.500000 2 41 -0.087601
0.500000 2 42 -0.090958
0.500000 2 43 -0.090195
0.500000 2 44 -0.087296
0.500000 2 45 -0.093552
0.500000 2 46 -0.088212
0.500000 2 47 -0.092332
0.500000 2 48 -0.093552
0.500000 2 49 -0.090195
0.500000 3 0 -0.132462
0.500000 3 1 -0.058610
0.500000 3 2 -0.118424
0.500000 3 3 -0.077683
0.500000 3 4 -0.090500
0.500000 3 5 -0.093094
0.500000 3 6 -0.089738
0.500000 3 7 -0.092942
0.500000 3 8 -0.088212
0.500000 3 9 -0.089738
0.500000 3 10 -0.078293
0.500000 3 11 -0.092789
0.500000 3 12 -0.091416
0.500000 3 13 -0.086381
0.500000 3 14 -0.101029
0.500000 3 15 -0.088975
0.500000 3 16 -0.084397
0.500000 3 17 -0.091416
0.500000 3 18 -0.087754
0.500000 3 19 -0.087754
0.500000 3 20 -0.092332
0.500000 3 21 -0.091111
0.500000 3 22 -0.089890
0.500000 3 23 -0.106827
0.500000 3 24 -0.073258
0.500000 3 25 -0.085770
0.500000 3 26 -0.094468
0.500000 3 27 -0.086838
0.500000 3 28 -0.095078
0.500000 3 29 -0.087144
0.500000 3 30 -0.090348
0.500000 3 31 -0.086075
0.500000 3 32 -0.095536
0.500000 3 33 -0.081803
0.500000 3 34 -0.093552
0.500000 3 35 -0.076615
0.500000 3 36 -0.093247
0.500000 3 37 -0.182053
0.500000 3 38 -0.044877
0.500000 3 39 -0.157029
0.500000 3 40 -0.060135
0.500000 3 41 -0.100419
0.500000 3 42 -0.083787
0.500000 3 43 -0.039384
0.500000 3 44 -0.113694
0.500000 3 45 -0.083176
0.500000 3 46 -0.094315
0.500000 3 47 -0.072953
0.500000 3 48 -0.100876
0.500000 3 49 -0.084244
0.500000 4 0 -0.128953
0.500000 4 1 -0.071274
0.500000 4 2 -0.094926
0.500000 4 3 -0.082261
0.500000 4 4 -0.089890
0.500000 4 5 -0.079514
0.500000 4 6 -0.094468
0.500000 4 7 -0.084702
0.500000 4 8 -0.089432
0.500000 4 9 -0.094163
0.500000 4 10 -0.086533
0.500000 4 11 -0.089280
0.500000 4 12 -0.087296
0.500000 4 13 -0.090195
0.500000 4 14 -0.095231
0.500000 4 15 -0.084397
0.500000 4 16 -0.093247
0.500000 4 17 -0.090958
0.500000 4 18 -0.093400
0.500000 4 19 -0.082566
0.500000 4 20 -0.090958
0.500000 4 21 -0.085465
0.500000 4 22 -0.089738
0.500000 4 23 -0.083024
0.500000 4 24 -0.088975
0.500000 4 25 -0.089738
0.500000 4 26 -0.014664
0.500000 4 27 -0.120713
0.500000 4 28 -0.073563
0.500000 4 29 -0.098282
