#Alpha Beta Run/Spin Iteration Values
0.500000 0.000000 0 0 -0.271802
0.500000 0.000000 0 1 -0.407300
0.500000 0.000000 0 2 -0.390820
0.500000 0.000000 0 3 -0.436597
0.500000 0.000000 0 4 -0.465894
0.500000 0.000000 0 5 -0.443921
0.500000 0.000000 0 6 -0.471387
0.500000 0.000000 0 7 -0.409131
0.500000 0.000000 0 8 -0.460400
0.500000 0.000000 0 9 -0.440259
0.500000 0.000000 0 10 -0.442090
0.500000 0.000000 0 11 -0.460400
0.500000 0.000000 0 12 -0.438428
0.500000 0.000000 0 13 -0.453076
0.500000 0.000000 0 14 -0.458569
0.500000 0.000000 0 15 -0.456738
0.500000 0.000000 0 16 -0.414624
0.500000 0.000000 0 17 -0.396313
0.500000 0.000000 0 18 -0.378003
0.500000 0.000000 0 19 -0.407300
0.500000 0.000000 1 0 -0.255322
0.500000 0.000000 1 1 -0.335889
0.500000 0.000000 1 2 -0.337720
0.500000 0.000000 1 3 -0.354199
0.500000 0.000000 1 4 -0.334058
0.500000 0.000000 1 5 -0.396313
0.500000 0.000000 1 6 -0.431104
0.500000 0.000000 1 7 -0.434766
0.500000 0.000000 1 8 -0.425610
0.500000 0.000000 1 9 -0.449414
0.500000 0.000000 1 10 -0.445752
0.500000 0.000000 1 11 -0.418286
0.500000 0.000000 1 12 -0.388989
0.500000 0.000000 1 13 -0.398145
0.500000 0.000000 1 14 -0.416455
0.500000 0.000000 1 15 -0.621533
0.500000 0.000000 1 16 -0.432935
0.500000 0.000000 1 17 -0.367017
0.500000 0.000000 1 18 -0.401807
0.500000 0.000000 1 19 -0.367017
0.500000 0.000000 2 0 -0.284619
0.500000 0.000000 2 1 -0.379834
0.500000 0.000000 2 2 -0.363355
0.500000 0.000000 2 3 -0.372510
0.500000 0.000000 2 4 -0.352368
0.500000 0.000000 2 5 -0.367017
0.500000 0.000000 2 6 -0.271802
0.500000 0.000000 2 7 -0.394482
0.500000 0.000000 2 8 -0.403638
0.500000 0.000000 2 9 -0.383496
0.500000 0.000000 2 10 -0.586743
0.500000 0.000000 2 11 -0.502515
0.500000 0.000000 2 12 -0.429272
0.500000 0.000000 2 13 -0.416455
0.500000 0.000000 2 14 -0.416455
0.500000 0.000000 2 15 -0.412793
0.500000 0.000000 2 16 -0.326733
0.500000 0.000000 2 17 -0.224194
0.500000 0.000000 2 18 -0.299268
0.500000 0.000000 2 19 -0.312085
0.500000 0.000000 3 0 -0.242505
0.500000 0.000000 3 1 -0.328564
0.500000 0.000000 3 2 -0.357861
0.500000 0.000000 3 3 -0.308423
0.500000 0.000000 3 4 -0.378003
0.500000 0.000000 3 5 -0.348706
0.500000 0.000000 3 6 -0.335889
0.500000 0.000000 3 7 -0.365186
0.500000 0.000000 3 8 -0.304761
0.500000 0.000000 3 9 -0.350537
0.500000 0.000000 3 10 -0.302930
0.500000 0.000000 3 11 -0.315747
0.500000 0.000000 3 12 -0.266309
0.500000 0.000000 3 13 -0.334058
0.500000 0.000000 3 14 -0.304761
0.500000 0.000000 3 15 -0.319409
0.500000 0.000000 3 16 -0.335889
0.500000 0.000000 3 17 -0.312085
0.500000 0.000000 3 18 -0.277295
0.500000 0.000000 3 19 -0.275464
0.600000 0.000000 0 0 -0.182080
0.600000 0.000000 0 1 -0.253491
0.600000 0.000000 0 2 -0.335889
0.600000 0.000000 0 3 -0.339551
0.600000 0.000000 0 4 -0.324902
0.600000 0.000000 0 5 -0.350537
0.600000 0.000000 0 6 -0.315747
0.600000 0.000000 0 7 -0.321240
0.600000 0.000000 0 8 -0.354199
0.600000 0.000000 0 9 -0.361523
0.600000 0.000000 0 10 -0.343213
0.600000 0.000000 0 11 -0.302930
0.600000 0.000000 0 12 -0.321240
0.600000 0.000000 0 13 -0.280957
0.600000 0.000000 0 14 -0.335889
0.600000 0.000000 0 15 -0.273633
0.600000 0.000000 0 16 -0.273633
0.600000 0.000000 0 17 -0.273633
0.600000 0.000000 0 18 -0.255322
0.600000 0.000000 0 19 -0.262646
0.600000 0.000000 1 0 -0.202222
0.600000 0.000000 1 1 -0.218701
0.600000 0.000000 1 2 -0.279126
0.600000 0.000000 1 3 -0.262646
0.600000 0.000000 1 4 -0.271802
0.600000 0.000000 1 5 -0.273633
0.600000 0.000000 1 6 -0.297437
0.600000 0.000000 1 7 -0.262646
0.600000 0.000000 1 8 -0.180249
0.600000 0.000000 1 9 -0.238843
0.600000 0.000000 1 10 -0.280957
0.600000 0.000000 1 11 -0.262646
0.600000 0.000000 1 12 -0.293774
0.600000 0.000000 1 13 -0.306592
0.600000 0.000000 1 14 -0.194897
0.600000 0.000000 1 15 -0.240674
0.600000 0.000000 1 16 -0.282788
0.600000 0.000000 1 17 -0.297437
0.600000 0.000000 1 18 -0.295605
0.600000 0.000000 1 19 -0.249829
0.600000 0.000000 2 0 -0.169263
0.600000 0.000000 2 1 -0.189404
0.600000 0.000000 2 2 -0.244336
0.600000 0.000000 2 3 -0.191235
0.600000 0.000000 2 4 -0.260815
0.600000 0.000000 2 5 -0.231519
0.600000 0.000000 2 6 -0.171094
0.600000 0.000000 2 7 -0.171094
0.600000 0.000000 2 8 -0.249829
0.600000 0.000000 2 9 -0.224194
0.600000 0.000000 2 10 -0.269971
0.600000 0.000000 2 11 -0.262646
0.600000 0.000000 2 12 -0.273633
0.600000 0.000000 2 13 -0.273633
0.600000 0.000000 2 14 -0.290112
0.600000 0.000000 2 15 -0.242505
0.600000 0.000000 2 16 -0.193066
0.600000 0.000000 2 17 -0.211377
0.600000 0.000000 2 18 -0.224194
0.600000 0.000000 2 19 -0.231519
0.600000 0.000000 3 0 -0.103345
0.600000 0.000000 3 1 -0.169263
0.600000 0.000000 3 2 -0.222363
0.600000 0.000000 3 3 -0.204053
0.600000 0.000000 3 4 -0.169263
0.600000 0.000000 3 5 -0.220532
0.600000 0.000000 3 6 -0.202222
0.600000 0.000000 3 7 -0.161938
0.600000 0.000000 3 8 -0.200391
0.600000 0.000000 3 9 -0.161938
0.600000 0.000000 3 10 -0.158276
0.600000 0.000000 3 11 -0.215039
0.600000 0.000000 3 12 -0.231519
0.600000 0.000000 3 13 -0.235181
0.600000 0.000000 3 14 -0.196729
0.600000 0.000000 3 15 -0.244336
0.600000 0.000000 3 16 -0.235181
0.600000 0.000000 3 17 -0.231519
0.600000 0.000000 3 18 -0.266309
0.600000 0.000000 3 19 -0.216870
0.700000 0.000000 0 0 -0.158276
0.700000 0.000000 0 1 -0.198560
0.700000 0.000000 0 2 -0.235181
0.700000 0.000000 0 3 -0.209546
0.700000 0.000000 0 4 -0.249829
0.700000 0.000000 0 5 -0.258984
0.700000 0.000000 0 6 -0.262646
0.700000 0.000000 0 7 -0.238843
0.700000 0.000000 0 8 -0.218701
