# Alpha Run/Spin Iteration Value
0.000000 0 0 -0.065254
0.000000 0 1 -0.092834
0.000000 0 2 -0.043472
0.000000 0 3 -0.067963
0.000000 0 4 -0.050125
0.000000 0 5 -0.076546
0.000000 0 6 -0.042068
0.000000 0 7 -0.094383
0.000000 0 8 -0.098129
0.000000 0 9 -0.052002
0.000000 0 10 -0.070175
0.000000 0 11 -0.063896
0.000000 0 12 -0.074150
0.000000 0 13 -0.052063
0.000000 0 14 -0.031693
0.000000 0 15 -0.090721
0.000000 0 16 -0.105392
0.000000 0 17 -0.038910
0.000000 0 18 -0.074005
0.000000 0 19 -0.044708
0.000000 0 20 -0.074051
0.000000 0 21 -0.044624
0.000000 0 22 -0.031342
0.000000 0 23 -0.043953
0.000000 0 24 -0.049950
0.000000 0 25 -0.047218
0.000000 0 26 -0.067825
0.000000 0 27 -0.038696
0.000000 0 28 -0.055656
0.000000 0 29 -0.044884
0.000000 0 30 -0.035286
0.000000 0 31 -0.055908
0.000000 0 32 -0.074883
0.000000 0 33 -0.106133
0.000000 0 34 -0.041039
0.000000 0 35 -0.064590
0.000000 0 36 -0.087349
0.000000 0 37 -0.090874
0.000000 0 38 -0.049889
0.000000 0 39 -0.055298
0.000000 0 40 -0.098671
0.000000 0 41 -0.067902
0.000000 0 42 -0.097511
0.000000 0 43 -0.064453
0.000000 0 44 -0.081589
0.000000 0 45 -0.093361
0.000000 0 46 -0.068268
0.000000 0 47 -0.068031
0.000000 0 48 -0.096115
0.000000 0 49 -0.055664
0.000000 1 0 -0.101311
0.000000 1 1 -0.097527
0.000000 1 2 -0.041702
0.000000 1 3 -0.068069
0.000000 1 4 -0.083717
0.000000 1 5 -0.076477
0.000000 1 6 -0.065575
0.000000 1 7 -0.051849
0.000000 1 8 -0.101006
0.000000 1 9 -0.055542
0.000000 1 10 -0.064323
0.000000 1 11 -0.074295
0.000000 1 12 -0.094582
0.000000 1 13 -0.073868
0.000000 1 14 -0.065895
0.000000 1 15 -0.044624
0.000000 1 16 -0.047249
0.000000 1 17 -0.060753
0.000000 1 18 -0.033958
0.000000 1 19 -0.095871
0.000000 1 20 -0.063042
0.000000 1 21 -0.050751
0.000000 1 22 -0.053078
0.000000 1 23 -0.084122
0.000000 1 24 -0.075432
0.000000 1 25 -0.067940
0.000000 1 26 -0.088715
0.000000 1 27 -0.106125
0.000000 1 28 -0.081352
0.000000 1 29 -0.043793
0.000000 1 30 -0.046959
0.000000 1 31 -0.045166
0.000000 1 32 -0.082802
0.000000 1 33 -0.105965
0.000000 1 34 -0.035110
0.000000 1 35 -0.077728
0.000000 1 36 -0.043373
0.000000 1 37 -0.050682
0.000000 1 38 -0.067726
0.000000 1 39 -0.050491
0.000000 1 40 -0.087440
0.000000 1 41 -0.107903
0.000000 1 42 -0.085800
0.000000 1 43 -0.084274
0.000000 1 44 -0.052292
0.000000 1 45 -0.093910
0.000000 1 46 -0.044754
0.000000 1 47 -0.106056
0.000000 1 48 -0.098457
0.000000 1 49 -0.065666
0.000000 2 0 -0.101013
0.000000 2 1 -0.093651
0.000000 2 2 -0.045326
0.000000 2 3 -0.068123
0.000000 2 4 -0.034828
0.000000 2 5 -0.045242
0.000000 2 6 -0.093460
0.000000 2 7 -0.098503
0.000000 2 8 -0.044998
0.000000 2 9 -0.100861
0.000000 2 10 -0.043587
0.000000 2 11 -0.042953
0.000000 2 12 -0.064453
0.000000 2 13 -0.062096
0.000000 2 14 -0.052086
0.000000 2 15 -0.049767
0.000000 2 16 -0.043915
0.000000 2 17 -0.101173
0.000000 2 18 -0.040947
0.000000 2 19 -0.100922
0.000000 2 20 -0.032303
0.000000 2 21 -0.073959
0.000000 2 22 -0.064400
0.000000 2 23 -0.084831
0.000000 2 24 -0.052605
0.000000 2 25 -0.047272
0.000000 2 26 -0.074097
0.000000 2 27 -0.091362
0.000000 2 28 -0.055794
0.000000 2 29 -0.069305
0.000000 2 30 -0.091324
0.000000 2 31 -0.035477
0.000000 2 32 -0.081291
0.000000 2 33 -0.066757
0.000000 2 34 -0.058983
0.000000 2 35 -0.055794
0.000000 2 36 -0.041466
0.000000 2 37 -0.068275
0.000000 2 38 -0.044945
0.000000 2 39 -0.076279
0.000000 2 40 -0.095207
0.000000 2 41 -0.051033
0.000000 2 42 -0.044724
0.000000 2 43 -0.056145
0.000000 2 44 -0.046448
0.000000 2 45 -0.063171
0.000000 2 46 -0.064377
0.000000 2 47 -0.097488
0.000000 2 48 -0.067932
0.000000 2 49 -0.087921
0.000000 3 0 -0.031258
0.000000 3 1 -0.093826
0.000000 3 2 -0.100845
0.000000 3 3 -0.105858
0.000000 3 4 -0.088791
0.000000 3 5 -0.047104
0.000000 3 6 -0.055672
0.000000 3 7 -0.041199
0.000000 3 8 -0.063187
0.000000 3 9 -0.068512
0.000000 3 10 -0.052078
0.000000 3 11 -0.058052
0.000000 3 12 -0.062057
0.000000 3 13 -0.055382
0.000000 3 14 -0.064278
0.000000 3 15 -0.094040
0.000000 3 16 -0.068062
0.000000 3 17 -0.073410
0.000000 3 18 -0.047409
0.000000 3 19 -0.068123
0.000000 3 20 -0.043571
0.000000 3 21 -0.093689
0.000000 3 22 -0.055878
0.000000 3 23 -0.049789
0.000000 3 24 -0.076324
0.000000 3 25 -0.032967
0.000000 3 26 -0.091217
0.000000 3 27 -0.051605
0.000000 3 28 -0.068085
0.000000 3 29 -0.065437
0.000000 3 30 -0.089035
0.000000 3 31 -0.066864
0.000000 3 32 -0.098434
0.000000 3 33 -0.105698
0.000000 3 34 -0.103668
0.000000 3 35 -0.069664
0.000000 3 36 -0.091698
0.000000 3 37 -0.085266
0.000000 3 38 -0.052429
0.000000 3 39 -0.058250
0.000000 3 40 -0.044594
0.000000 3 41 -0.093391
0.000000 3 42 -0.041588
0.000000 3 43 -0.060951
0.000000 3 44 -0.089119
0.000000 3 45 -0.055565
0.000000 3 46 -0.074158
0.000000 3 47 -0.101051
0.000000 3 48 -0.033638
0.000000 3 49 -0.073814
0.000000 4 0 -0.098007
0.000000 4 1 -0.043411
0.000000 4 2 -0.041435
0.000000 4 3 -0.041512
0.000000 4 4 -0.055473
0.000000 4 5 -0.063293
0.000000 4 6 -0.091156
0.000000 4 7 -0.088531
0.000000 4 8 -0.097839
0.000000 4 9 -0.084709
0.000000 4 10 -0.105644
0.000000 4 11 -0.088867
0.000000 4 12 -0.065445
0.000000 4 13 -0.084183
0.000000 4 14 -0.031555
0.000000 4 15 -0.064606
0.000000 4 16 -0.100861
0.000000 4 17 -0.073959
0.000000 4 18 -0.041809
0.000000 4 19 -0.099358
0.000000 4 20 -0.036255
0.000000 4 21 -0.044670
0.000000 4 22 -0.041489
0.000000 4 23 -0.097298
0.000000 4 24 -0.106171
0.000000 4 25 -0.035042
0.000000 4 26 -0.047211
0.000000 4 27 -0.097488
0.000000 4 28 -0.090874
0.000000 4 29 -0.049767
0.000000 4 30 -0.052467
0.000000 4 31 -0.064285
0.000000 4 32 -0.096504
0.000000 4 33 -0.038567
0.000000 4 34 -0.062294
0.000000 4 35 -0.077606
0.000000 4 36 -0.097672
0.000000 4 37 -0.040909
0.000000 4 38 -0.036530
0.000000 4 39 -0.088913
0.000000 4 40 -0.098587
0.000000 4 41 -0.083687
0.000000 4 42 -0.041077
0.000000 4 43 -0.088776
0.000000 4 44 -0.049957
0.000000 4 45 -0.060783
0.000000 4 46 -0.070274
0.000000 4 47 -0.031548
0.000000 4 48 -0.031128
0.000000 4 49 -0.087555
0.000000 5 0 -0.087418
0.000000 5 1 -0.049904
0.000000 5 2 -0.099167
0.000000 5 3 -0.050247
0.000000 5 4 -0.098602
0.000000 5 5 -0.103630
0.000000 5 6 -0.052017
0.000000 5 7 -0.052002
0.000000 5 8 -0.041000
0.000000 5 9 -0.045059
0.000000 5 10 -0.106041
0.000000 5 11 -0.070412
0.000000 5 12 -0.031418
0.000000 5 13 -0.067841
0.000000 5 14 -0.099045
0.000000 5 15 -0.042404
0.000000 5 16 -0.055771
0.000000 5 17 -0.063408
0.000000 5 18 -0.041161
0.000000 5 19 -0.089111
0.000000 5 20 -0.094849
0.000000 5 21 -0.060638
0.000000 5 22 -0.065636
0.000000 5 23 -0.106041
0.000000 5 24 -0.073112
0.000000 5 25 -0.094200
0.000000 5 26 -0.078964
0.000000 5 27 -0.060760
0.000000 5 28 -0.093887
0.000000 5 29 -0.035240
0.000000 5 30 -0.052017
0.000000 5 31 -0.078156
0.000000 5 32 -0.067917
0.000000 5 33 -0.095688
0.000000 5 34 -0.081429
0.000000 5 35 -0.081535
0.000000 5 36 -0.070496
0.000000 5 37 -0.107681
0.000000 5 38 -0.049347
0.000000 5 39 -0.106140
0.000000 5 40 -0.034264
0.000000 5 41 -0.045357
0.000000 5 42 -0.094513
0.000000 5 43 -0.043121
0.000000 5 44 -0.092995
0.000000 5 45 -0.045174
0.000000 5 46 -0.050659
0.000000 5 47 -0.074226
0.000000 5 48 -0.093460
0.000000 5 49 -0.094116
0.000000 6 0 -0.075157
0.000000 6 1 -0.100822
0.000000 6 2 -0.042068
0.000000 6 3 -0.047287
0.000000 6 4 -0.049530
0.000000 6 5 -0.035606
0.000000 6 6 -0.044868
0.000000 6 7 -0.047127
0.000000 6 8 -0.069344
0.000000 6 9 -0.083908
0.000000 6 10 -0.041092
0.000000 6 11 -0.097321
0.000000 6 12 -0.088745
0.000000 6 13 -0.070923
0.000000 6 14 -0.063728
0.000000 6 15 -0.051239
0.000000 6 16 -0.034554
0.000000 6 17 -0.047302
0.000000 6 18 -0.050797
0.000000 6 19 -0.050529
0.000000 6 20 -0.044647
0.000000 6 21 -0.079536
0.000000 6 22 -0.091362
0.000000 6 23 -0.084824
0.000000 6 24 -0.045006
0.000000 6 25 -0.069466
0.000000 6 26 -0.105743
0.000000 6 27 -0.096138
0.000000 6 28 -0.034897
0.000000 6 29 -0.031631
0.000000 6 30 -0.047081
0.000000 6 31 -0.041901
0.000000 6 32 -0.045547
0.000000 6 33 -0.068069
0.000000 6 34 -0.068153
0.000000 6 35 -0.065353
0.000000 6 36 -0.081566
0.000000 6 37 -0.035011
0.000000 6 38 -0.035454
0.000000 6 39 -0.043495
0.000000 6 40 -0.067856
0.000000 6 41 -0.069572
0.000000 6 42 -0.089180
0.000000 6 43 -0.067604
0.000000 6 44 -0.034859
0.000000 6 45 -0.043488
0.000000 6 46 -0.045158
0.000000 6 47 -0.106186
0.000000 6 48 -0.047066
0.000000 6 49 -0.064705
0.000000 7 0 -0.091537
0.000000 7 1 -0.050835
0.000000 7 2 -0.043854
0.000000 7 3 -0.052254
0.000000 7 4 -0.070282
0.000000 7 5 -0.082405
0.000000 7 6 -0.064857
0.000000 7 7 -0.069283
0.000000 7 8 -0.105667
0.000000 7 9 -0.093788
0.000000 7 10 -0.041168
0.000000 7 11 -0.066544
0.000000 7 12 -0.065392
0.000000 7 13 -0.076355
0.000000 7 14 -0.061882
0.000000 7 15 -0.065491
0.000000 7 16 -0.040863
0.000000 7 17 -0.044945
0.000000 7 18 -0.069839
0.000000 7 19 -0.061119
0.000000 7 20 -0.088776
0.000000 7 21 -0.091164
0.000000 7 22 -0.100716
0.000000 7 23 -0.072746
0.000000 7 24 -0.106064
0.000000 7 25 -0.078148
0.000000 7 26 -0.043549
0.000000 7 27 -0.032646
0.000000 7 28 -0.073975
0.000000 7 29 -0.043846
0.000000 7 30 -0.101044
0.000000 7 31 -0.097450
0.000000 7 32 -0.044815
0.000000 7 33 -0.068062
0.000000 7 34 -0.069038
0.000000 7 35 -0.058601
0.000000 7 36 -0.044228
0.000000 7 37 -0.062225
0.000000 7 38 -0.046921
0.000000 7 39 -0.097580
0.000000 7 40 -0.052177
0.000000 7 41 -0.050789
0.000000 7 42 -0.047234
0.000000 7 43 -0.085350
0.000000 7 44 -0.035049
0.000000 7 45 -0.064156
0.000000 7 46 -0.068008
0.000000 7 47 -0.083649
0.000000 7 48 -0.046844
0.000000 7 49 -0.055725
0.100000 0 0 -0.044441
0.100000 0 1 -0.041901
0.100000 0 2 -0.042519
0.100000 0 3 -0.072006
0.100000 0 4 -0.020676
0.100000 0 5 -0.054939
0.100000 0 6 -0.076668
0.100000 0 7 -0.048782
0.100000 0 8 -0.061119
0.100000 0 9 -0.079918
0.100000 0 10 -0.084427
0.100000 0 11 -0.082809
0.100000 0 12 -0.082809
0.100000 0 13 -0.081833
0.100000 0 14 -0.032127
0.100000 0 15 -0.067513
0.100000 0 16 -0.023338
0.100000 0 17 -0.086700
0.100000 0 18 -0.082573
0.100000 0 19 -0.034737
0.100000 0 20 -0.043556
0.100000 0 21 -0.085464
0.100000 0 22 -0.065071
0.100000 0 23 -0.033936
0.100000 0 24 -0.061127
0.100000 0 25 -0.065132
0.100000 0 26 -0.085670
0.100000 0 27 -0.022110
0.100000 0 28 -0.053642
0.100000 0 29 -0.079216
0.100000 0 30 -0.078072
