#Alpha Run/Spin Iteration Value1 Value2
1.500000 0 0 -0.198270 -0.200330
1.500000 0 1 -0.147229 -0.149747
1.500000 0 2 -0.165540 -0.167142
1.500000 0 3 -0.159589 -0.160886
1.500000 0 4 -0.157605 -0.157529
1.500000 0 5 -0.164014 -0.162488
1.500000 0 6 -0.158597 -0.162869
1.500000 0 7 0.037860 -0.167523
1.500000 0 8 -0.187360 -0.070706
1.500000 0 9 -0.226117 -0.228940
1.500000 0 10 -0.144482 -0.144025
1.500000 0 11 -0.162030 -0.162030
1.500000 0 12 -0.160199 -0.160199
1.500000 0 13 -0.155850 -0.159894
1.500000 0 14 -0.137311 -0.182019
1.500000 0 15 -0.141507 -0.182095
1.500000 0 16 -0.185605 -0.184003
1.500000 0 17 -0.152875 -0.157910
1.500000 0 18 -0.119763 -0.197507
1.500000 0 19 -0.169965 -0.122128
1.500000 0 20 -0.186826 -0.190717
1.500000 0 21 -0.154324 -0.151120
1.500000 0 22 -0.159360 -0.156918
1.500000 0 23 -0.171567 -0.145779
1.500000 0 24 -0.146924 -0.147382
1.500000 0 25 -0.160199 -0.164853
1.500000 0 26 -0.157758 -0.154401
1.500000 0 27 -0.160199 -0.162106
1.500000 0 28 -0.186673 -0.131818
1.500000 0 29 -0.194531 -0.191785
1.500000 0 30 -0.149060 -0.146924
1.500000 0 31 -0.160809 -0.167523
1.500000 0 32 -0.151578 -0.150662
1.500000 0 33 -0.165311 -0.161038
1.500000 0 34 -0.169583 -0.160199
1.500000 0 35 -0.166760 -0.165845
1.500000 0 36 -0.155469 -0.156537
1.500000 0 37 -0.158063 -0.159055
1.500000 0 38 -0.157834 -0.156995
1.500000 0 39 -0.158673 -0.157147
1.500000 0 40 -0.158444 -0.154935
1.500000 0 41 -0.162030 -0.162717
1.500000 0 42 -0.159894 -0.153256
1.500000 0 43 -0.156384 -0.152951
1.500000 0 44 -0.162259 -0.158520
1.500000 0 45 -0.155621 -0.155774
1.500000 0 46 -0.160046 -0.159436
1.500000 0 47 -0.158978 -0.159283
1.500000 0 48 -0.161649 -0.161343
1.500000 0 49 -0.161496 -0.158139
