# Alpha Run/Spin Iteration Value
0.000000 0 0 0.010674
0.000000 0 1 -0.158524
0.000000 0 2 -0.371033
0.000000 0 3 0.045853
0.000000 0 4 -0.170425
0.000000 0 5 0.187538
0.000000 0 6 -0.194092
0.000000 0 7 -0.303719
0.000000 0 8 -0.193542
0.000000 0 9 0.196312
0.000000 0 10 -0.361580
0.000000 0 11 -0.304222
0.000000 0 12 -0.134789
0.000000 0 13 0.156616
0.000000 0 14 0.010307
0.000000 0 15 -0.001472
0.000000 0 16 0.282219
0.000000 0 17 -0.323563
0.000000 0 18 -0.361626
0.000000 0 19 -0.323677
0.000000 0 20 -0.303963
0.000000 0 21 -0.158638
0.000000 0 22 0.215744
0.000000 0 23 -0.014511
0.000000 0 24 -0.098602
0.000000 0 25 0.177483
0.000000 0 26 -0.086700
0.000000 0 27 -0.342987
0.000000 0 28 -0.026520
0.000000 0 29 -0.361397
0.000000 0 30 0.242470
0.000000 0 31 -0.352226
0.000000 0 32 0.102715
0.000000 0 33 -0.050293
0.000000 0 34 -0.062828
0.000000 0 35 0.215775
0.000000 0 36 -0.146820
0.000000 0 37 -0.352417
0.000000 0 38 -0.074272
0.000000 0 39 -0.061501
0.000000 0 40 0.010323
0.000000 0 41 -0.361732
0.000000 0 42 -0.283073
0.000000 0 43 -0.352577
0.000000 0 44 -0.073997
0.000000 0 45 -0.001640
0.000000 0 46 -0.193871
0.000000 0 47 -0.098953
0.000000 0 48 0.068893
0.000000 0 49 -0.074127
0.000000 1 0 0.242569
0.000000 1 1 -0.370338
0.000000 1 2 -0.361725
0.000000 1 3 0.177582
0.000000 1 4 0.266815
0.000000 1 5 0.057320
0.000000 1 6 -0.304382
0.000000 1 7 -0.134514
0.000000 1 8 0.234169
0.000000 1 9 0.103256
0.000000 1 10 -0.378899
0.000000 1 11 -0.001953
0.000000 1 12 -0.261421
0.000000 1 13 0.069199
0.000000 1 14 -0.282738
0.000000 1 15 -0.074303
0.000000 1 16 -0.098557
0.000000 1 17 0.009796
0.000000 1 18 -0.001678
0.000000 1 19 -0.098885
0.000000 1 20 0.267326
0.000000 1 21 0.146614
0.000000 1 22 0.102654
0.000000 1 23 -0.370651
0.000000 1 24 0.177216
0.000000 1 25 0.045380
0.000000 1 26 -0.061981
0.000000 1 27 -0.037773
0.000000 1 28 -0.323303
0.000000 1 29 -0.378746
0.000000 1 30 -0.272545
0.000000 1 31 0.080215
0.000000 1 32 -0.323669
0.000000 1 33 -0.062225
0.000000 1 34 -0.170654
0.000000 1 35 0.280960
0.000000 1 36 0.022224
0.000000 1 37 -0.026436
0.000000 1 38 -0.303970
0.000000 1 39 0.057442
0.000000 1 40 -0.370560
0.000000 1 41 -0.205132
0.000000 1 42 -0.122757
0.000000 1 43 0.010216
0.000000 1 44 -0.194092
0.000000 1 45 0.146179
0.000000 1 46 0.010178
0.000000 1 47 -0.304199
0.000000 1 48 -0.193771
0.000000 1 49 0.146332
0.000000 2 0 -0.342949
0.000000 2 1 0.103043
0.000000 2 2 -0.283127
0.000000 2 3 -0.170494
0.000000 2 4 -0.087524
0.000000 2 5 -0.158623
0.000000 2 6 0.234398
0.000000 2 7 -0.323448
0.000000 2 8 0.177391
0.000000 2 9 -0.134621
0.000000 2 10 -0.370209
0.000000 2 11 0.009941
0.000000 2 12 -0.061874
0.000000 2 13 -0.026230
0.000000 2 14 0.069298
0.000000 2 15 -0.283073
0.000000 2 16 -0.002029
0.000000 2 17 -0.061920
0.000000 2 18 -0.086586
0.000000 2 19 -0.303352
0.000000 2 20 0.233536
0.000000 2 21 0.156708
0.000000 2 22 -0.001930
0.000000 2 23 0.145668
0.000000 2 24 0.010712
0.000000 2 25 -0.013802
0.000000 2 26 -0.323341
0.000000 2 27 -0.062286
0.000000 2 28 0.068863
0.000000 2 29 -0.086838
0.000000 2 30 -0.361687
0.000000 2 31 0.080612
0.000000 2 32 0.258904
0.000000 2 33 -0.086472
0.000000 2 34 0.146812
0.000000 2 35 -0.086647
0.000000 2 36 0.068718
0.000000 2 37 0.187439
0.000000 2 38 -0.050240
0.000000 2 39 -0.293320
0.000000 2 40 -0.098717
0.000000 2 41 0.021851
0.000000 2 42 -0.014114
0.000000 2 43 -0.158325
0.000000 2 44 -0.158562
0.000000 2 45 -0.013878
0.000000 2 46 -0.261536
0.000000 2 47 -0.001884
0.000000 2 48 0.057312
0.000000 2 49 0.102829
0.000000 3 0 0.156921
0.000000 3 1 -0.170059
0.000000 3 2 0.176971
0.000000 3 3 -0.324165
0.000000 3 4 0.146393
0.000000 3 5 -0.001930
0.000000 3 6 0.102654
0.000000 3 7 -0.193787
0.000000 3 8 -0.352440
0.000000 3 9 -0.087097
0.000000 3 10 -0.038048
0.000000 3 11 0.022202
0.000000 3 12 -0.193680
0.000000 3 13 -0.037979
0.000000 3 14 0.069199
0.000000 3 15 -0.370026
0.000000 3 16 -0.283195
0.000000 3 17 0.282341
0.000000 3 18 -0.026268
0.000000 3 19 -0.293488
0.000000 3 20 -0.323677
0.000000 3 21 0.080139
0.000000 3 22 -0.025993
0.000000 3 23 -0.122978
0.000000 3 24 0.009941
