# Alpha Run/Spin Iteration Value
0.500000 0 0 -0.123146
0.500000 0 1 -0.056389
0.500000 0 2 -0.101891
0.500000 0 3 -0.024673
0.500000 0 4 -0.096786
0.500000 0 5 -0.053795
0.500000 0 6 -0.086861
0.500000 0 7 0.003944
0.500000 0 8 -0.031784
0.500000 0 9 -0.054535
0.500000 0 10 -0.006912
0.500000 0 11 -0.071289
0.500000 0 12 -0.037979
0.500000 0 13 -0.077301
0.500000 0 14 0.012383
0.500000 0 15 -0.061653
0.500000 0 16 0.008713
0.500000 0 17 -0.108421
0.500000 0 18 -0.048653
0.500000 0 19 -0.051506
0.500000 0 20 -0.100449
0.500000 0 21 -0.021912
0.500000 0 22 -0.086327
0.500000 0 23 -0.007599
0.500000 0 24 -0.021667
0.500000 0 25 -0.028328
0.500000 0 26 -0.103928
0.500000 0 27 0.026909
0.500000 0 28 -0.120483
0.500000 0 29 -0.072426
0.500000 0 30 -0.099625
0.500000 0 31 -0.025154
0.500000 0 32 -0.046951
0.500000 0 33 -0.018959
0.500000 0 34 -0.115059
0.500000 0 35 -0.073265
0.500000 0 36 -0.023880
0.500000 0 37 -0.018036
0.500000 0 38 -0.071182
0.500000 0 39 -0.057999
0.500000 0 40 -0.063164
0.500000 0 41 -0.004486
0.500000 0 42 -0.121063
0.500000 0 43 0.013519
0.500000 0 44 -0.045662
0.500000 0 45 -0.020256
0.500000 0 46 -0.008705
0.500000 0 47 -0.108276
0.500000 0 48 -0.014557
0.500000 0 49 -0.020462
0.600000 0 0 -0.123436
0.600000 0 1 -0.045761
0.600000 0 2 -0.102982
0.600000 0 3 -0.014740
0.600000 0 4 -0.099815
0.600000 0 5 -0.043465
0.600000 0 6 -0.088394
0.600000 0 7 0.011711
0.600000 0 8 -0.036743
0.600000 0 9 -0.049286
0.600000 0 10 -0.004631
0.600000 0 11 -0.071388
0.600000 0 12 -0.031319
0.600000 0 13 -0.077766
0.600000 0 14 0.018776
0.600000 0 15 -0.065376
0.600000 0 16 0.015945
0.600000 0 17 -0.113495
0.600000 0 18 -0.036636
0.600000 0 19 -0.052910
0.600000 0 20 -0.095337
0.600000 0 21 -0.015205
0.600000 0 22 -0.088295
0.600000 0 23 0.001419
0.600000 0 24 -0.025925
0.600000 0 25 -0.023911
0.600000 0 26 -0.103371
0.600000 0 27 0.035637
0.600000 0 28 -0.127289
0.600000 0 29 -0.058655
0.600000 0 30 -0.099602
0.600000 0 31 -0.016235
0.600000 0 32 -0.049591
0.600000 0 33 -0.014061
0.600000 0 34 -0.115974
0.600000 0 35 -0.062279
0.600000 0 36 -0.023766
0.600000 0 37 -0.016151
0.600000 0 38 -0.071144
0.600000 0 39 -0.051430
0.600000 0 40 -0.062042
0.600000 0 41 -0.000145
0.600000 0 42 -0.123421
0.600000 0 43 0.024170
0.600000 0 44 -0.052528
0.600000 0 45 -0.012276
0.600000 0 46 -0.010994
0.600000 0 47 -0.106644
0.600000 0 48 -0.005623
0.600000 0 49 -0.023964
0.700000 0 0 -0.028732
0.700000 0 1 -0.042259
0.700000 0 2 0.002708
0.700000 0 3 -0.022270
0.700000 0 4 -0.007469
0.700000 0 5 -0.018051
0.700000 0 6 -0.035339
0.700000 0 7 -0.052521
0.700000 0 8 -0.057388
0.700000 0 9 -0.005943
0.700000 0 10 -0.086105
0.700000 0 11 -0.013786
0.700000 0 12 -0.012230
0.700000 0 13 -0.094246
0.700000 0 14 0.028366
0.700000 0 15 -0.132713
0.700000 0 16 -0.013000
0.700000 0 17 -0.020920
0.700000 0 18 -0.009750
0.700000 0 19 -0.084282
0.700000 0 20 0.030441
0.700000 0 21 -0.029205
0.700000 0 22 -0.089516
0.700000 0 23 -0.072647
0.700000 0 24 0.032417
0.700000 0 25 -0.032753
0.700000 0 26 -0.008247
0.700000 0 27 -0.005745
0.700000 0 28 -0.104080
0.700000 0 29 0.052071
0.700000 0 30 -0.129570
0.700000 0 31 0.001038
0.700000 0 32 -0.023491
0.700000 0 33 -0.055626
0.700000 0 34 -0.075539
0.700000 0 35 0.017281
0.700000 0 36 -0.092331
0.700000 0 37 -0.034050
